longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,Localidad
-74.1619494,4.5931067,2.0,1.0,42.0,0.0,2.0,0.0,117000.0,0.0,1000000.0,CIUDAD BOLIVAR
-74.1202004,4.6745063,3.0,1.0,46.0,4.0,1.0,0.0,0.0,0.0,1600000.0,FONTIBON
-74.0659844,4.6186488,3.0,1.0,31.0,4.0,1.0,0.0,228100.0,2.0,1471900.0,SANTA FE
-74.0447232,4.685925,6.0,3.0,112.0,23.0,3.0,2.0,0.0,4.0,4200000.0,USAQUEN
-74.0894918,4.615283,3.0,1.0,28.0,0.0,1.0,0.0,0.0,18.0,1450000.0,LOS MARTIRES
-74.053843795239,4.6593951655101,5.0,3.0,120.0,12.0,3.0,2.0,0.0,4.0,7900000.0,CHAPINERO
-74.0649649,4.6310396,4.0,3.0,92.0,23.0,3.0,1.0,0.0,5.0,3000000.0,CHAPINERO
-74.082984,4.6470611,5.0,2.0,80.0,23.0,3.0,1.0,544000.0,2.0,2656000.0,TEUSAQUILLO
-74.0747357,4.7273595,4.0,3.0,114.0,23.0,3.0,2.0,0.0,3.0,4000000.0,SUBA
-74.06755,4.61879,5.0,1.0,37.0,4.0,1.0,1.0,0.0,4.0,2400000.0,SANTA FE
-74.1358145,4.6415987,3.0,1.0,50.0,23.0,2.0,0.0,0.0,0.0,1350000.0,KENNEDY
-74.040537715908,4.694539808992,6.0,2.0,64.0,12.0,1.0,1.0,462000.0,4.0,3850000.0,USAQUEN
-74.063739997364,4.700329985796,5.0,2.0,83.0,31.0,2.0,1.0,491000.0,0.0,2100000.0,SUBA
-74.0437257,4.6908429,6.0,2.0,52.0,4.0,1.0,1.0,516600.0,0.0,2380000.0,USAQUEN
-74.0615901,4.6345839,6.0,2.0,89.0,0.0,2.0,3.0,0.0,3.0,4700000.0,CHAPINERO
-74.046430954651,4.6790714709022,5.0,1.0,28.0,4.0,1.0,0.0,0.0,3.0,2200000.0,CHAPINERO
-74.055808323804,4.6730301931741,6.0,4.0,300.0,4.0,4.0,4.0,1900000.0,7.0,20000000.0,CHAPINERO
-74.1060768,4.5069229,6.0,5.0,340.0,31.0,4.0,2.0,2200000.0,3.0,18000000.0,USME
-74.035359879041,4.725650416094,4.0,2.0,90.0,23.0,3.0,2.0,780000.0,3.0,2400000.0,USAQUEN
-74.1169993,4.6485788,4.0,1.0,42.0,0.0,2.0,0.0,173000.0,0.0,1217000.0,FONTIBON
-74.0500746,4.7329153,4.0,2.0,72.0,31.0,3.0,1.0,462000.0,0.0,2338000.0,SUBA
